Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,ECG,large,0.5,0.5,low,edge+cloud,2.019094009767842,0.51125,100.0022496988926,4.897678782323075
Baseline,ECG,large,0.5,0.5,high,edge,2.3202365409593066,0.48568749999999994,97.8895690421791,3.432969203653366
Baseline,ECG,large,0.5,0.5,high,edge+cloud,2.2710528932626244,0.48568749999999994,103.2756048701073,4.9620895434428025
Baseline,ECG,large,0.5,1.0,low,edge,1.6141402526188116,1.0,196.23820600138595,3.3396198016006804
Baseline,ECG,large,0.5,1.0,low,edge+cloud,1.7488117203868867,1.0,201.3113355987906,4.495474983303384
Baseline,ECG,large,0.5,1.0,high,edge,1.919501267623425,0.9713749999999999,196.72277430577776,3.3778149230854666
Baseline,ECG,large,0.5,1.0,high,edge+cloud,1.8812685852423294,0.9713749999999999,203.91214643833257,4.566471338536278
Baseline,ECG,large,1.0,0.25,low,edge,1.5555812742266648,0.255625,62.420810587213886,3.5074060828950753
Baseline,ECG,large,1.0,0.25,low,edge+cloud,1.5358565034900942,0.255625,63.80659668690635,4.970536734804638
Baseline,ECG,large,1.0,0.25,high,edge,1.7723154454530456,0.24284374999999997,63.54643103687778,3.7348319342803165
Baseline,ECG,large,1.0,0.25,high,edge+cloud,1.7341092219346412,0.24284374999999997,65.05051675248295,5.024850136351563
Baseline,ECG,large,1.0,0.5,low,edge,1.4501704388105574,0.51125,127.33902270677179,3.4329068097429003
Baseline,ECG,large,1.0,0.5,low,edge+cloud,1.3955673359697176,0.51125,129.48588566938827,4.9906932142407205
Baseline,ECG,large,1.0,0.5,high,edge,1.5835873081223688,0.48568749999999994,125.56193409927783,3.604414807727019
Baseline,ECG,large,1.0,0.5,high,edge+cloud,1.5865410685052912,0.48568749999999994,131.26334930385346,4.99546422015151
Baseline,ECG,large,1.0,1.0,low,edge,1.203209777424867,1.0,255.95725296069287,3.375940108927606
Baseline,ECG,large,1.0,1.0,low,edge+cloud,1.1669665409444345,1.0,261.21195188963713,4.729169640041905
Baseline,ECG,large,1.0,1.0,high,edge,1.383641103082946,0.9713749999999999,248.92723245353724,3.377955749616875
